"Year","Name","Position","Age","Round","Pick","College","Conference","Games","Seasons","Height","Weight","X40.Yard","Bench","Broad.Jump","Shuttle","X3.Cone","Vertical","Pass.Att","Pass.Completions","Pass.Yds","Pass.TD","Pass.Int","Passer.Rating","Rush.Att","Rush.Yds","Rush.TD","Rec","Rec.Yds","Rec.TD","Solo.Tackles","Ast.Tackles","Total.Tackles","Tackles.for.Loss","Sacks","Int","Int.Return.Yards","Int.TD","Pass.Deflection","Fumble.Recovery","Fumble.Return.Yards","Fumble.TD","Forced.Fumbles","PRs","PR.Yds","PR.TD","KRs","KR.Yds","KR.TD","XPA","XP.","FGA","FG.","Punts","Punt.Avg"
2016,"Max Tuerk","C",22,3,66,"USC","Pac-12",41,4,77,298,5.12,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2016,"Maliek Collins","DT",21,3,67,"Nebraska","Big Ten",32,3,74,311,5.03,25,109,4.52,7.53,29.5,0,0,0,0,0,0,0,0,0,0,0,0,37,49,86,21.5,8,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Will Redmond","CB",22,3,68,"Mississippi St.","SEC",27,3,71,182,4.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,30,99,5.5,0,5,43,0,8,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0
2016,"Yannick Ngakoue","DE",21,3,69,"Maryland","Big Ten",30,3,74,252,4.75,26,118,4.5,7.35,34.5,0,0,0,0,0,0,0,0,0,0,0,0,57,26,83,32,21,1,3,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Bronson Kaufusi","DE",25,3,70,"BYU","Ind",37,3,78,285,4.87,25,111,4.25,7.03,30,0,0,0,0,0,0,0,0,0,0,0,0,112,63,175,43.5,25.5,2,22,1,14,1,0,0,6,0,0,0,1,18,0,0,0,0,0,0,0
2016,"Darian Thompson","S",23,3,71,"Boise St.","MWC",46,4,74,208,4.69,12,118,4.33,7.26,32.5,0,0,0,0,0,0,0,0,0,0,0,0,136,78,214,15,1,19,118,1,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Jonathan Bullard","DT",22,3,72,"Florida","SEC",37,3,75,285,4.93,23,116,4.56,7.31,32,0,0,0,0,0,0,0,0,0,0,0,0,92,83,175,34,12,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Kenyan Drake","RB",22,3,73,"Alabama","SEC",41,4,73,210,4.45,10,123,4.21,7.04,34.5,0,0,0,0,0,0,233,1495,18,46,570,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,0,19,505,1,0,0,0,0,0,0
2016,"KeiVarae Russell","CB",22,3,74,"Notre Dame","Ind",36,3,71,192,4.49,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,44,169,7,1.5,5,31,0,12,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Shilique Calhoun","DE",24,3,75,"Michigan St.","Big Ten",39,3,76,251,4.82,23,115,4.25,6.97,35,0,0,0,0,0,0,0,0,0,0,0,0,74,57,131,44,27,1,56,1,5,5,20,2,4,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Shon Coleman","T",24,3,76,"Auburn","0",41,4,77,307,5.18,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Daryl Worley","CB",21,3,77,"West Virginia","Big 12",33,3,73,204,4.64,14,123,4.15,6.98,35.5,0,0,0,0,0,0,0,0,0,0,0,0,125,18,143,9,0,10,50,0,21,1,0,0,2,0,0,0,1,-1,0,0,0,0,0,0,0
